band_gap,density,volume,nsites,crystal_Cubic,crystal_Hexagonal,crystal_Monoclinic,crystal_Orthorhombic,crystal_Tetragonal,crystal_Triclinic,crystal_Trigonal,formation_energy_pbe,formation_energy_r2scan,material_id,formula
0.0,8.157868481081163,46.205987384126566,1,True,False,False,False,False,False,False,0.39614618545168484,0.03875745241658593,mp-10018,Ac
0.0,8.313273945401516,136.02668597010646,3,False,False,False,False,False,False,True,0.29484615232432626,0.04463133731598984,mp-1183057,Ac
0.0,8.144760170385736,138.84105617575773,3,False,False,False,False,False,False,True,0.4089750032151059,0.0018824710045023205,mp-1183069,Ac
0.0,8.17018178829182,184.54540076862065,4,False,True,False,False,False,False,False,0.5284544784612037,-0.018367102035232508,mp-862690,Ac
0.0,11.36726437762304,110.1573687869758,4,True,False,False,False,False,False,False,-0.14840824370850542,-0.44583975329673897,mp-861724,Ac2AgIr
0.0,9.490475602624924,134.56309719889316,4,True,False,False,False,False,False,False,-0.21539858604238016,-0.5050403583993717,mp-1183076,Ac2AgPb
0.0,3.512584302253199,297.73514374101035,5,False,False,False,False,True,False,False,-0.9231910516738913,-1.3716001412407384,mp-1207297,Ac2Br2O
0.0,8.243209586617187,128.14491097102075,4,True,False,False,False,False,False,False,0.012283960622939266,-0.36549086132789343,mp-1183068,Ac2CdGa
0.0,8.44954191431781,125.58895639675303,4,True,False,False,False,False,False,False,-0.23522967164024286,-0.5053407447362407,mp-1183063,Ac2CdGe
0.0,9.570976516145288,133.07264127884656,4,True,False,False,False,False,False,False,-0.05229834408711036,-0.47335608932731216,mp-1183086,Ac2CdHg
0.0,8.37029263624578,135.91761187913772,4,True,False,False,False,False,False,False,-0.3121666026718694,-0.5281979668984453,mp-862319,Ac2CdSn
0.0,3.166314983503059,283.6718875773945,5,False,False,False,False,True,False,False,-1.3924199050355395,-1.606142498078662,mp-1207291,Ac2Cl2O
0.0,8.59830517904435,113.97907949916606,4,True,False,False,False,False,False,False,-0.049956988015093906,-0.3697848136904781,mp-862786,Ac2CuGe
0.0,11.322189909338377,104.09551499883716,4,True,False,False,False,False,False,False,-0.3292907829486707,-0.34994742005661195,mp-861883,Ac2CuIr
0.0,9.971867965777491,103.01340117510605,4,True,False,False,False,False,False,False,0.02442400762305008,-0.020601945300082008,mp-1183120,Ac2CuRu
0.0,8.064008692611875,112.35632999102056,4,True,False,False,False,False,False,False,-0.05550784688614495,-0.2613283317752183,mp-867122,Ac2CuSi
0.0,8.371543611775841,126.20467542837422,4,True,False,False,False,False,False,False,-0.2264563843001606,-0.3719549260611971,mp-865470,Ac2CuSn
0.0,8.414438900311154,115.89401606648477,4,True,False,False,False,False,False,False,0.05975865113929405,-0.35395745993242306,mp-862683,Ac2GaCu
0.0,7.778297165108811,117.80207828034655,4,True,False,False,False,False,False,False,-0.25344578132818263,-0.4241361589172568,mp-1183054,Ac2GaSi
0.0,9.154250739096147,114.83417829186412,4,True,False,False,False,False,False,False,-0.5770526052002888,-0.6907492430278044,mp-867241,Ac2GePd
0.0,9.670946624304037,124.86821324902324,4,True,False,False,False,False,False,False,-0.06340282278676895,-0.5779937955577467,mp-861872,Ac2HgGe
0.0,8.116507450125557,130.63775061395748,4,True,False,False,False,False,False,False,-0.23993393132297644,-0.4165097161718938,mp-1183377,Ac2InGa
0.0,12.810759614228811,109.29400744391403,4,True,False,False,False,False,False,False,-0.3852476555468065,-0.6843524362857659,mp-865951,Ac2IrAu
0.0,11.92706591012911,104.7854644961122,4,True,False,False,False,False,False,False,-0.5801096591820156,-0.675803321835169,mp-866107,Ac2IrPd
0.0,12.266179147529508,101.41276773783284,4,True,False,False,False,False,False,False,-0.3163909224287754,-0.5070794686906804,mp-1183093,Ac2IrRh
0.0,6.748691045089812,235.37724069558234,6,False,False,False,True,False,False,False,0.3097590801231459,0.00760132828294238,mp-1183085,Ac2Mg
0.0,6.781411421394513,234.24154321160074,6,False,False,True,False,False,False,False,0.10760014505331456,-0.0071479836197847636,mp-1183089,Ac2Mg
